price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
2697200,2018-03-20,14:44:11,56.3460273,43.8716477,2871,2,6,25,1,44.0,20.0,11
4214700,2018-03-20,14:44:11,56.3460273,43.8716477,2871,2,16,25,2,67.0,20.0,11
3773700,2018-03-20,14:44:11,56.3460273,43.8716477,2871,2,12,25,2,60.0,12.0,11
950000,2018-03-25,14:55:54,58.6930479,59.485351,6171,3,2,5,1,32.0,10.0,1
5300000,2018-03-30,12:08:09,54.88528,38.080196,81,3,2,5,3,75.0,9.0,1
4600000,2018-04-02,15:09:38,55.7078344,37.9596388,81,2,17,17,1,37.0,12.5,1
11500000,2018-04-03,17:40:53,55.7989215,37.7380901,3,1,14,16,3,64.9,8.0,1
3500000,2018-04-04,13:38:26,47.2250854,39.6235866,3230,1,5,10,3,65.0,12.0,1
9000000,2018-04-04,15:45:29,56.3112475,44.0271172,2871,3,6,10,4,112.0,11.0,1
2500000,2018-04-04,19:37:22,43.634694,39.727167,2843,2,2,8,-1,25.0,5.0,1
2800000,2018-04-05,20:25:27,55.9428756,37.9764623,81,1,5,5,2,47.0,8.0,1
10200000,2018-04-07,15:23:20,55.655307,37.6146053,3,2,7,14,2,52.8,10.0,1
2370000,2018-04-09,15:55:58,61.657787,50.831367,4417,1,5,5,2,47.0,6.0,1
3200000,2018-04-10,16:10:12,59.827465,30.201827,2661,1,7,9,1,31.0,7.0,1
3160000,2018-04-11,15:58:47,55.172116,61.279772,5282,3,13,16,2,56.0,11.0,11
2750000,2018-04-14,15:29:34,54.8937452,38.0750844,81,1,5,5,2,44.0,6.0,1
3350000,2018-04-14,15:29:34,54.8827186,38.0619832,81,1,9,9,3,56.0,7.0,1
2500000,2018-04-14,15:29:34,54.886223,38.08271,81,3,4,9,1,33.0,6.0,1
2200000,2018-04-14,15:29:36,54.876962,38.155205,81,1,5,5,2,48.0,10.0,1
4400000,2018-04-14,15:29:37,54.8868571,38.0583764,81,3,11,14,2,54.0,9.0,1
4250000,2018-04-18,21:46:21,55.577999,39.517491,81,3,5,9,2,70.0,13.0,1
11500000,2018-04-18,21:52:41,55.70133,37.507412,3,1,14,17,1,42.0,12.0,1
2350000,2018-04-20,08:36:31,52.550984,103.882608,5368,4,1,2,3,60.0,6.2,1
2600000,2018-04-23,09:53:29,45.003174,39.079931,2843,4,3,5,2,46.0,8.0,1
6500000,2018-04-23,11:47:58,59.9883341,29.7869278,2661,3,3,3,3,89.0,10.0,1
3750000,2018-04-23,12:59:41,56.245607,43.8239587,2871,3,3,10,3,66.0,8.5,1
3380000,2018-04-25,00:02:27,59.90024,30.520711,3446,3,18,25,1,35.0,11.5,1
2220000,2018-04-25,09:22:20,45.002575,39.083183,2843,3,2,18,1,49.5,16.4,1
1200000,2018-04-25,17:01:13,55.4329286,42.5127293,2871,3,5,5,2,40.7,5.5,11
3250000,2018-04-28,10:19:50,47.2322363,39.7273503,3230,3,2,4,1,42.0,8.0,1
6500000,2018-04-28,12:55:44,55.8760589,37.3882166,81,1,16,22,3,81.0,14.0,11
6300000,2018-04-28,17:47:24,59.9116217,30.2845562,2661,3,5,5,2,99.9,14.5,1
2500000,2018-04-30,19:14:08,57.9897,56.193996,5520,3,3,5,3,59.0,6.0,1
20900000,2018-05-01,13:33:09,55.730785,37.631424,3,3,6,10,3,80.0,8.2,1
1450000,2018-05-04,05:38:11,53.2419091,83.7046163,6817,3,4,4,2,44.0,6.0,1
3650000,2018-05-11,10:24:21,56.3861027,61.9263927,6171,1,1,9,5,97.8,11.0,1
12000000,2018-05-12,21:08:19,55.627136,37.591736,3,1,4,9,3,64.9,7.0,1
1380000,2018-05-14,13:08:20,56.7714397,61.3265371,6171,3,2,3,3,67.0,9.0,1
1650000,2018-05-14,14:36:10,56.1443201,44.1946326,2871,3,5,5,2,45.5,6.0,1
2200000,2018-05-16,11:09:14,54.8934613,38.0789395,81,3,4,5,1,31.0,6.0,1
4550000,2018-05-16,11:32:28,55.9589987,38.035054,81,1,2,16,2,56.5,11.0,1
4800000,2018-05-16,15:24:56,51.8065028,107.6587536,9579,3,2,5,4,109.0,11.0,1
1150000,2018-05-19,14:40:22,57.64913,39.946823,2604,1,3,9,1,23.0,5.0,1
7100000,2018-05-22,11:26:47,60.0111721,30.2437953,2661,3,7,12,3,69.0,11.0,1
2350000,2018-05-24,13:53:59,47.228601,39.703883,3230,3,9,10,1,38.0,6.0,1
2350000,2018-05-26,20:15:51,60.061924,30.4731417,3446,2,7,17,1,44.0,12.0,11
8500000,2018-05-26,21:20:25,59.8491039,30.3141123,2661,3,14,14,2,60.0,11.0,1
1050000,2018-05-28,14:49:22,63.5659569,53.6612008,4417,1,4,5,1,25.0,6.0,1
1500000,2018-05-29,20:34:52,54.524271,52.807177,2922,1,2,5,2,44.0,6.0,1
3468912,2018-05-29,23:50:20,55.4508833,37.5420696,81,3,11,20,2,63.3,12.8,11
2700000,2018-05-30,19:27:04,45.0821634,39.1996631,2843,1,3,5,3,59.0,6.0,1
2400000,2018-05-31,12:31:40,56.8757566,53.291533,1010,1,4,5,4,58.0,5.6,1
2450000,2018-06-02,13:02:33,56.4964303,60.2373511,6171,3,4,5,3,67.0,7.6,1
3830000,2018-06-02,13:27:09,59.9814905,30.3717295,2661,2,2,17,1,44.9,16.5,11
3590000,2018-06-04,12:36:14,55.9493208,37.1802937,81,2,3,15,1,36.0,11.3,1
2980000,2018-06-04,21:48:53,65.9890409,57.5406513,4417,1,7,9,2,52.0,12.0,1
2750000,2018-06-05,13:41:12,55.7403214,38.0228009,81,3,5,5,1,32.0,6.0,1
6800000,2018-06-07,02:15:15,43.4847646,43.5942119,9648,4,4,9,3,97.0,30.0,1
13825000,2018-06-07,08:59:31,55.888657,37.4303702,81,3,7,7,2,197.5,14.8,11
4000000,2018-06-07,14:11:48,55.7770621,49.2167663,2922,2,11,14,2,66.0,10.6,11
3800000,2018-06-08,14:49:04,45.067703,38.954166,2843,3,5,19,2,60.0,12.0,1
4630000,2018-06-09,11:01:44,56.865892,53.2352957,1010,3,3,17,3,91.1,20.0,11
4300000,2018-06-09,11:09:19,56.865892,53.2352957,1010,3,7,17,3,85.0,28.7,11
3500000,2018-06-12,12:09:54,55.6511052,51.7998882,2922,1,5,9,3,84.0,14.0,1
1150000,2018-06-12,14:22:07,61.6726395,50.7817356,4417,5,2,2,3,53.0,8.5,1
2180000,2018-06-12,23:42:28,46.049551,38.166542,2843,3,4,5,2,52.6,9.0,1
5300000,2018-06-13,10:40:59,55.5799788,38.2485275,81,3,4,9,2,60.0,10.0,1
4200000,2018-06-13,11:05:52,55.5752478,38.2531333,81,3,3,17,1,43.0,13.6,1
1500000,2018-06-18,13:01:53,54.8886973,38.6052049,81,3,2,2,2,40.0,6.0,1
5750000,2018-06-20,15:52:13,55.704428,37.766989,3,1,8,9,1,32.0,6.0,1
1350000,2018-06-22,14:26:40,56.3491983,30.5329775,7793,1,1,5,1,38.5,11.0,1
1650000,2018-06-25,08:22:14,56.3891952,61.9614227,6171,3,3,4,3,76.0,6.0,1
5350000,2018-06-25,12:11:49,47.2318203,39.7086225,3230,3,8,19,2,82.0,12.0,11
5200000,2018-06-27,15:09:04,55.5065146,37.9481675,81,1,5,9,2,73.0,16.0,1
11535000,2018-06-28,17:08:39,55.7244072,37.7409377,3,1,15,24,3,80.9,14.0,1
3900000,2018-06-29,22:52:08,59.9992721,29.7702254,2661,3,3,4,2,52.6,8.8,1
3400000,2018-06-30,23:16:17,56.0944479,37.5039916,81,1,4,5,2,43.9,7.0,1
2290000,2018-07-02,14:53:43,47.1974908,39.6263036,3230,3,9,22,1,44.0,10.0,1
1300000,2018-07-02,15:59:26,43.0208992,44.652087,13919,3,4,5,1,35.0,10.0,1
1080000,2018-07-03,07:34:59,55.4004556,86.0184299,2860,3,1,2,2,42.0,6.0,1
5500000,2018-07-03,12:45:42,45.019793,39.039489,2843,4,6,12,3,84.0,23.0,1
1000000,2018-07-03,15:35:00,45.1028818,38.6376167,2843,1,2,3,1,40.0,12.0,1
2900000,2018-07-03,16:24:01,45.0623092,38.9657259,2843,3,11,17,1,44.0,14.0,11
4500000,2018-07-04,10:52:34,59.8703882,29.8671938,2661,1,1,6,3,68.0,8.3,1
1200000,2018-07-04,11:11:07,65.1328754,57.1568845,4417,3,2,5,2,43.7,5.6,1
2040000,2018-07-05,14:37:09,58.0208111,38.848565,2604,1,9,9,3,63.0,8.0,1
2200000,2018-07-09,13:19:37,56.128531,47.344013,3019,3,3,16,2,74.0,14.0,11
2350000,2018-07-09,13:41:50,56.0787168,54.235706,2722,3,5,9,2,47.0,8.4,1
6680000,2018-07-09,21:30:29,59.892994,30.4140096,2661,3,2,5,2,59.0,8.0,1
2150000,2018-07-10,10:01:55,59.9125233,29.7812802,2661,3,5,5,1,32.0,6.0,1
3100000,2018-07-11,16:47:23,55.7362897,49.1002256,2922,1,8,10,1,39.6,8.8,1
2900000,2018-07-12,12:52:00,56.334567,38.142952,81,3,2,9,1,37.5,9.0,1
1350000,2018-07-13,16:20:50,57.6215477,39.8977411,2604,3,4,5,1,33.0,7.0,1
2600000,2018-07-13,16:29:05,46.6861046,38.2920057,2843,3,1,5,3,63.0,9.0,1
7101000,2018-07-16,21:07:14,59.8513073,30.0216431,2661,3,3,25,2,63.8,13.0,1
3900000,2018-07-17,01:10:31,56.0666344,37.3794319,81,4,3,4,1,47.0,11.0,1
6990000,2018-07-17,12:50:34,55.7238127,37.4347638,3,3,1,5,2,44.0,6.0,1
1000000,2018-07-19,09:49:05,56.874725,53.239742,1010,3,1,5,2,23.0,5.0,1
3300000,2018-07-20,16:26:10,47.1383299,39.7507179,3230,3,6,9,4,74.0,10.0,1
1590000,2018-07-22,09:14:37,47.2745017,38.9277634,3230,3,1,3,1,38.0,11.0,1
5500000,2018-07-22,23:00:02,55.4951868,37.5543618,3,2,13,17,2,63.0,10.0,1
2050000,2018-07-26,07:38:12,55.10736,61.616595,5282,3,6,9,3,61.0,9.0,1
1950000,2018-07-26,13:59:57,56.6496542,47.897717,4982,3,9,9,1,45.0,14.0,11
1350000,2018-07-27,09:59:55,56.7990297,59.9012546,6171,1,4,5,2,42.0,5.0,1
2430000,2018-07-27,11:13:53,45.0648634,39.0371658,2843,2,10,17,1,51.0,20.0,1
2400000,2018-07-27,11:54:05,43.504688,43.627886,9648,3,1,9,2,55.0,10.0,1
2700000,2018-07-27,12:48:28,47.2367538,39.8040792,3230,3,4,5,3,62.0,6.0,1
1320000,2018-07-27,20:50:22,54.1864545,45.1459586,5241,3,2,2,2,39.0,4.2,1
4000000,2018-07-29,11:43:02,56.7607948,60.701983,6171,1,4,9,4,64.0,8.0,1
6390000,2018-07-29,15:38:03,59.9230199,30.4489763,2661,1,9,10,3,72.4,8.7,1
3700000,2018-07-30,15:59:39,55.3999414,37.768844,81,1,13,14,2,56.6,8.1,1
8280000,2018-07-30,16:00:13,59.919874,30.371959,2661,2,10,10,2,64.5,9.9,1
2991978,2018-07-31,10:33:09,59.7009509,30.3958856,2661,1,1,5,-1,23.6,4.6,11
5800000,2018-07-31,10:33:17,60.022958,30.370369,2661,2,6,14,1,47.1,12.0,1
1980000,2018-07-31,14:34:28,59.454253,29.5000055,3446,1,5,5,2,54.3,8.4,1
3150000,2018-07-31,20:46:50,58.631363,59.7853588,6171,4,2,4,3,76.6,9.0,1
2600000,2018-08-01,09:18:43,56.1205946,93.331962,3870,1,4,5,3,69.0,9.0,1
2350000,2018-08-01,10:50:24,43.4923108,43.5935978,9648,3,3,7,1,44.0,11.0,1
10499000,2018-08-01,11:31:39,55.8863052,37.4326773,81,1,6,23,4,110.0,12.0,1
2600000,2018-08-02,09:30:45,57.6073975,39.8395594,2604,3,1,4,1,42.0,11.0,1
2220000,2018-08-03,09:15:28,53.3354981,83.7882999,6817,3,2,3,2,44.0,7.0,1
1250000,2018-08-03,10:57:36,56.7439851,38.881941,2604,3,3,5,1,32.0,6.0,1
3100000,2018-08-03,12:13:13,56.3062548,38.1502661,81,3,3,5,3,57.0,6.0,1
2400000,2018-08-03,12:41:19,44.0289752,43.0534628,2900,3,2,6,1,50.0,14.0,1
1150000,2018-08-03,15:06:10,45.084112,39.020193,2843,3,4,6,1,38.0,9.0,1
5399940,2018-08-04,07:39:22,55.7029452,37.8871138,81,1,2,16,2,60.2,11.2,11
5904800,2018-08-04,07:43:24,55.6968448,37.9073245,81,1,25,25,2,67.1,10.7,11
8806100,2018-08-04,07:43:24,55.87287,37.59311,3,1,5,24,2,53.5,18.5,11
5969650,2018-08-04,07:43:27,55.6968448,37.9073245,81,1,23,25,2,66.7,11.4,11
4235680,2018-08-04,07:43:29,55.6968448,37.9073245,81,1,25,25,1,36.8,9.3,11
8677850,2018-08-04,09:37:24,55.915306,37.720106,81,2,2,14,3,88.1,10.6,11
3600000,2018-08-07,16:41:30,55.8257648,49.0725279,2922,3,4,6,1,57.7,9.3,1
2420000,2018-08-08,10:32:32,56.109963,92.913702,3870,3,2,17,2,54.0,13.0,11
2650000,2018-08-08,16:08:22,58.234476,68.274701,3991,1,9,9,4,79.0,9.0,1
13700000,2018-08-08,17:07:12,55.6388284,37.5384822,3,1,12,12,2,65.0,12.0,1
3100000,2018-08-09,10:27:23,43.48278,43.574858,9648,3,3,5,3,64.0,8.0,1
10272240,2018-08-10,12:45:28,59.9391313,30.3159004,2661,2,3,8,2,78.0,15.6,11
4100000,2018-08-10,12:56:21,59.9305317,30.6205086,3446,1,4,10,2,67.0,10.6,1
3500000,2018-08-11,06:46:31,47.23871,39.8082432,3230,3,3,5,3,64.0,11.0,1
1950000,2018-08-12,20:01:49,56.2318163,43.4362229,2871,3,1,9,1,40.0,8.0,1
2750000,2018-08-12,21:00:59,60.0393986,30.4494963,3446,3,14,27,1,36.0,9.3,1
4458000,2018-08-13,10:03:59,55.5396746,37.7167903,81,1,4,17,2,61.2,11.9,11
6332000,2018-08-13,10:04:00,55.5633379,37.851372,81,2,7,9,3,96.7,16.6,11
5158890,2018-08-13,10:43:29,55.7485953,37.9252958,81,2,1,6,1,60.1,11.1,11
3750000,2018-08-13,20:00:52,55.5774674,38.2052556,81,3,6,10,1,42.5,10.6,1
3690000,2018-08-13,23:47:42,55.5774674,38.2052556,81,2,6,10,1,43.0,11.0,1
9500000,2018-08-14,01:46:17,55.629221,37.518542,3,1,17,17,2,50.9,8.5,1
2730000,2018-08-14,07:41:49,55.7659045,52.4191332,2922,1,3,9,2,54.0,10.0,1
3445000,2018-08-14,18:31:05,43.403842,40.003363,2843,2,5,12,1,34.0,7.0,11
2700000,2018-08-15,15:57:53,59.5717476,30.1194336,3446,3,3,5,2,45.0,31.0,1
1200000,2018-08-16,12:06:07,53.087794,91.410785,2359,1,1,5,2,46.0,7.0,1
6800000,2018-08-16,12:27:34,55.6832456,37.8689023,81,1,1,14,3,68.0,9.0,1
3750000,2018-08-18,07:39:01,55.4115543,36.7162291,81,3,4,5,3,50.5,6.2,1
1200000,2018-08-22,08:30:21,56.9086605,59.942029,6171,1,2,5,1,28.0,5.0,1
4200000,2018-08-23,11:23:45,45.053582,39.031826,2843,3,15,18,2,65.0,13.0,1
2550000,2018-08-23,13:26:39,45.026138,39.018226,2843,3,7,16,1,39.7,10.0,1
2100000,2018-08-23,16:12:05,56.493675,38.181607,81,1,8,9,3,70.0,7.0,1
1350000,2018-08-23,22:40:48,44.7689895,39.8649958,2843,3,3,5,1,33.0,9.0,1
2600000,2018-08-25,02:52:47,54.1709324,45.1423289,5241,3,7,9,3,60.0,10.0,1
2960000,2018-08-25,13:01:31,45.063699,39.036884,2843,1,4,16,2,58.0,10.0,1
2550000,2018-08-26,18:34:07,45.133927,39.008272,2843,3,18,20,1,43.0,12.0,11
1110000,2018-08-26,19:45:13,53.5292897,49.17818,3106,4,1,3,1,36.0,8.3,1
2850000,2018-08-27,10:52:24,44.99311,39.068316,2843,2,12,25,3,91.0,18.0,11
2160000,2018-08-27,11:46:08,55.8116984,49.195913,2922,3,2,5,1,31.0,6.5,1
2500000,2018-08-27,13:02:23,55.7649561,38.4460706,81,1,3,5,2,44.0,6.0,1
4368880,2018-08-27,13:09:09,55.7042711,37.9420436,3,1,13,17,1,38.8,7.4,11
1750000,2018-08-27,14:57:20,43.9172201,42.7080805,2900,3,1,5,1,38.0,8.0,1
3300000,2018-08-28,12:02:58,45.0725309,39.0384593,2843,3,18,24,2,63.0,11.0,1
4990000,2018-08-28,16:00:02,59.8262216,30.207174,2661,1,8,9,3,60.0,6.0,1
2100000,2018-08-28,18:52:04,54.7393328,83.058362,9654,3,8,9,1,35.2,12.0,1
2190000,2018-08-29,09:29:44,45.1054739,38.9697956,2843,2,9,12,2,48.5,16.5,11
2490000,2018-08-29,13:37:37,45.020991,39.045768,2843,1,4,5,2,46.0,7.0,1
7500000,2018-08-29,14:40:58,43.626335,39.698437,2843,2,1,9,2,76.0,15.0,1
10550000,2018-08-29,18:44:37,55.4846387,37.3067639,3,1,6,15,3,77.0,10.0,1
8037466,2018-08-30,10:42:05,55.7042711,37.9420436,3,1,16,17,3,84.6,10.0,11
1750000,2018-08-30,11:41:49,45.09787,39.005326,2843,2,5,16,1,39.2,10.0,1
6217920,2018-08-30,12:52:35,55.7042711,37.9420436,3,1,2,17,2,61.2,12.6,11
1690000,2018-08-30,14:26:50,47.52453,42.193382,3230,1,7,8,2,51.0,10.0,1
4800000,2018-08-30,14:45:34,59.8615511,30.3427614,2661,3,8,19,1,35.7,9.3,1
6380000,2018-08-30,14:54:02,59.9489239,30.2421301,2661,3,5,9,2,49.0,8.0,1
4900000,2018-08-30,15:08:37,59.9153024,30.4816295,2661,4,7,9,2,50.0,9.0,1
3200000,2018-08-30,15:14:07,59.918065,30.505386,3446,2,23,24,1,33.0,10.0,1
6950000,2018-08-30,16:43:06,55.8792639,37.3137409,81,2,3,4,1,48.6,12.0,1
2700000,2018-08-30,17:57:18,47.199913,39.654817,3230,3,5,5,1,41.0,12.0,1
5000000,2018-08-30,20:57:17,59.9898689,29.7881002,2661,3,2,4,3,72.1,7.6,1
3490000,2018-08-31,09:10:33,56.8977241,60.5733406,6171,3,5,5,3,60.8,6.0,1
3735430,2018-08-31,10:34:17,59.8498956,30.3536147,2661,2,2,24,1,35.1,11.9,11
2250000,2018-08-31,11:52:32,45.03433,38.905226,2843,4,10,12,1,34.0,6.0,1
2750000,2018-08-31,15:22:51,53.3442883,83.6632084,6817,1,8,9,3,70.0,9.0,1
1000000,2018-08-31,15:30:03,56.114403,47.4960436,3019,3,1,5,2,42.0,6.0,1
1690000,2018-08-31,15:33:12,51.3691544,42.1155192,2072,3,1,5,2,45.0,9.0,1
2950000,2018-08-31,16:42:58,55.859248,37.1266372,81,3,2,5,1,33.4,7.0,1
1800000,2018-08-31,17:58:30,55.3752075,39.0553288,81,4,3,3,2,57.0,9.0,11
2153836,2018-08-31,18:44:08,59.845437,30.115149,2661,2,6,8,1,28.9,4.8,11
2149764,2018-08-31,18:48:13,59.845437,30.115149,2661,2,2,8,1,29.7,5.0,11
10470000,2018-08-31,21:57:43,60.0135965,30.3883656,2661,3,9,22,2,72.4,14.0,1
15800000,2018-09-01,12:50:02,55.6807931,37.4845931,3,2,16,25,2,57.8,9.0,1
3150000,2018-09-01,12:58:41,55.802925,38.457947,81,2,4,17,2,53.0,8.5,1
8771000,2018-09-01,13:21:11,59.9215495,30.4336026,2661,2,7,16,4,95.0,24.0,11
2650000,2018-09-01,18:12:19,55.9634074,37.9126379,81,3,4,5,1,33.0,6.0,1
7000000,2018-09-02,08:46:05,55.552408,37.552157,3,1,8,22,1,38.1,10.0,1
4700000,2018-09-03,10:05:01,43.6230269,39.7488778,2843,2,11,16,1,48.0,10.0,1
2000000,2018-09-04,09:32:26,61.7675242,34.3784484,8090,1,2,5,3,49.6,6.1,1
12500000,2018-09-04,09:32:49,55.6757857,37.6647249,3,1,6,16,4,71.0,7.0,1
1749000,2018-09-04,10:02:28,45.028744,38.978601,2843,3,1,1,1,28.0,4.0,1
1330000,2018-09-04,16:41:31,51.6364936,39.2731042,2072,3,7,9,1,30.0,5.6,1
3200000,2018-09-04,17:51:10,57.5797443,39.849094,2604,3,7,9,1,47.0,12.0,1
3200000,2018-09-05,12:57:15,43.6286394,39.7213167,2843,1,1,5,1,36.0,9.0,1
2700000,2018-09-05,13:47:22,45.1144372,38.9915437,2843,2,7,17,2,62.0,13.0,1
3750000,2018-09-06,00:19:05,47.223688,39.714968,3230,1,9,10,3,60.0,8.0,1
2420000,2018-09-06,15:42:22,47.249519,39.717744,3230,1,3,5,3,57.0,6.0,1
4500000,2018-09-08,00:02:02,60.0810272,30.3409889,2661,2,21,27,1,41.4,13.5,1
1375000,2018-09-08,00:03:33,56.7944975,53.1860188,1010,3,2,5,1,34.0,8.0,1
3150000,2018-09-08,00:04:14,55.7120531,49.1813351,2922,3,5,5,1,50.0,14.0,11
9300000,2018-09-08,00:08:14,59.9391313,30.3159004,2661,3,2,6,2,80.3,8.8,1
8300000,2018-09-08,00:09:12,60.058138,30.2912622,2661,3,4,6,2,74.0,14.0,1
10500000,2018-09-08,00:10:33,55.5677216,37.4445694,3,2,2,8,3,62.0,4.0,1
2100000,2018-09-08,00:14:24,45.0922453,39.0083362,2843,2,8,10,1,42.3,13.7,1
3200000,2018-09-08,00:14:46,45.042604,38.994833,2843,2,15,25,1,42.0,11.0,1
2800000,2018-09-08,00:15:18,44.6727019,37.7873634,2843,2,5,16,2,60.0,11.8,1
2250000,2018-09-08,00:15:30,45.092175,38.907535,2843,2,2,9,2,49.3,11.0,1
4700000,2018-09-08,00:15:38,44.8898336,37.3128991,2843,2,8,16,2,50.0,15.0,1
8499999,2018-09-08,00:15:39,45.040216,38.975996,2843,2,8,24,3,122.0,20.0,1
3000000,2018-09-08,00:15:53,45.026979,39.087656,2843,2,8,16,1,52.1,16.0,1
2581500,2018-09-08,00:16:09,45.092175,38.907535,2843,2,8,12,2,54.0,10.3,1
2662000,2018-09-08,00:16:15,44.7109441,37.7773073,2843,2,4,12,1,48.4,15.1,1
2299000,2018-09-08,00:16:23,45.0391977,38.913218,2843,2,18,24,1,26.1,5.0,1
10250000,2018-09-08,00:16:55,44.5548253,38.0750783,2843,2,12,12,2,77.6,17.0,1
6300000,2018-09-08,00:18:00,44.6812389,37.786473,2843,2,5,6,3,136.0,10.0,1
1900000,2018-09-08,00:18:23,45.093995,39.001463,2843,2,6,16,1,39.6,11.9,1
1880000,2018-09-08,00:18:27,44.998382,39.076221,2843,2,8,19,1,42.3,14.5,1
990000,2018-09-08,00:18:39,45.0972055,39.0297997,2843,2,3,3,1,17.9,4.0,1
10250000,2018-09-08,00:19:03,47.2239119,39.702144,3230,3,2,3,7,166.0,24.0,1
2550000,2018-09-08,00:19:11,45.0660632,38.9665226,2843,2,15,21,1,42.0,12.0,1
1500000,2018-09-08,00:19:22,44.0542947,43.0372682,2900,1,7,8,2,33.0,4.0,1
1990000,2018-09-08,00:19:47,44.9954885,39.0762484,2843,2,15,19,1,41.2,13.6,1
2300000,2018-09-08,00:20:08,45.09005,39.004454,2843,2,1,6,2,61.7,13.8,1
10500000,2018-09-08,00:20:23,45.043948,38.943306,2843,2,15,15,4,148.8,35.0,1
5980000,2018-09-08,00:20:25,45.05271,39.01791,2843,2,11,17,3,89.9,12.0,1
1399000,2018-09-08,00:20:40,45.0929799,38.9112931,2843,2,7,9,1,30.8,9.0,1
1430000,2018-09-08,00:20:47,45.092175,38.907535,2843,2,9,9,1,29.2,9.4,1
9800000,2018-09-08,00:20:55,45.0207193,38.9863091,2843,2,13,16,3,100.0,16.0,1
8300000,2018-09-08,00:21:08,45.0519865,38.9588649,2843,2,5,12,3,128.0,12.0,1
5000000,2018-09-08,00:22:34,45.055251,38.9681,2843,2,11,16,2,72.0,20.0,1
3950000,2018-09-08,00:22:51,45.05334,39.01863,2843,2,5,17,2,60.8,10.6,1
3250000,2018-09-08,00:25:18,45.071109,39.029967,2843,2,1,22,2,60.0,13.0,1
6242346,2018-09-08,00:26:53,60.0368892,30.2261228,2661,2,13,23,2,52.5,19.3,11
1250000,2018-09-08,00:26:58,45.1129419,39.0471961,2843,2,4,4,1,39.0,9.0,1
4899000,2018-09-08,00:27:04,45.121647,38.92655,2843,2,3,3,3,82.0,12.0,1
3100000,2018-09-08,00:27:47,42.9700151,47.5185726,4007,3,1,5,3,61.3,6.0,1
2620000,2018-09-08,00:27:53,45.054054,39.017705,2843,2,4,17,1,43.3,14.0,1
6350000,2018-09-08,00:28:01,55.7115804,37.3956114,3,1,4,12,1,42.6,8.5,1
3888800,2018-09-08,00:28:07,45.008774,38.996925,2843,2,6,18,3,97.2,19.5,1
3268000,2018-09-08,00:28:17,45.052207,39.034153,2843,2,8,18,2,62.6,11.5,1
3700000,2018-09-08,00:28:20,45.0562898,39.0325793,2843,2,6,21,3,70.0,12.0,1
2050000,2018-09-08,00:29:10,55.166017,61.292384,5282,1,1,10,2,65.0,14.0,1
2450000,2018-09-08,00:29:46,56.6249,47.89191,4982,3,4,12,1,42.0,10.0,1
9590400,2018-09-08,00:30:49,55.6737145,37.7455594,3,2,10,15,2,53.3,10.1,11
3050000,2018-09-08,00:31:01,45.0401604,38.9759647,2843,2,15,17,2,70.0,14.0,1
2450000,2018-09-08,00:31:06,45.090113,39.004886,2843,2,6,6,2,71.0,12.0,1
1800000,2018-09-08,00:31:09,45.052551,39.033138,2843,2,3,17,1,32.7,9.0,1
